InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536704,71053,WHITE METAL LANTERN,2,01/01/2011 08:41,3.6,12888.0,United Kingdom
536731,22423,REGENCY CAKESTAND 3 TIER,1,01/01/2011 08:48,11.59,12530.0,United Kingdom
536565,22197,SMALL POPCORN HOLDER,7,01/01/2011 08:58,0.92,12903.0,United Kingdom
536962,22811,SET 6 RED SPOTTY PAPER PLATES,21,01/01/2011 09:07,3.0,12556.0,United Kingdom
536895,POST,POSTAGE,6,01/01/2011 09:14,16.31,13196.0,United Kingdom
536549,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,01/01/2011 09:25,4.0,12423.0,United Kingdom
537010,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,192,01/01/2011 10:21,3.59,12430.0,EIRE
536387,22375,AIRLINE BAG VINTAGE WORLD CHAMPION,164,01/01/2011 10:48,4.48,12544.0,Australia
536897,84406B,CREAM CUPID HEARTS COAT HANGER,2,01/01/2011 10:55,2.79,13238.0,France
536623,20974,PINK CHERRY LIGHTS,4,01/01/2011 12:13,4.69,13198.0,United Kingdom
536484,22423,REGENCY CAKESTAND 3 TIER,10,01/01/2011 12:20,12.82,13785.0,United Kingdom
536895,22816,SET 6 RED SPOTTY PAPER CUPS,2,01/01/2011 12:25,3.07,13048.0,Netherlands
C536682,POST,POSTAGE,-8,01/01/2011 12:54,19.38,13452.0,United Kingdom
536915,22720,SET OF 3 CAKE TINS PANTRY DESIGN,2,01/01/2011 12:54,7.68,13696.0,United Kingdom
536650,22890,NOVELTY BICYCLE BOTTLE OPENER,6,01/01/2011 13:12,1.07,13350.0,United Kingdom
537020,85014,BLUE POLKADOT WRAP,123,01/01/2011 13:28,0.39,12803.0,United Kingdom
536969,20974,PINK CHERRY LIGHTS,39,01/01/2011 13:54,5.53,13527.0,EIRE
536958,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,01/01/2011 13:55,2.85,13029.0,United Kingdom
536402,22423,REGENCY CAKESTAND 3 TIER,5,01/01/2011 13:57,12.26,12454.0,Germany
C537080,84406B,CREAM CUPID HEARTS COAT HANGER,-4,01/01/2011 14:15,3.14,12734.0,EIRE
536542,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,01/01/2011 14:43,3.65,,United Kingdom
537028,20713,BAG 250g SWIRLY MARBLES,175,01/01/2011 14:46,0.36,12612.0,France
536570,84029E,RED WOOLLY HOTTIE WHITE HEART,4,01/01/2011 15:01,3.67,13032.0,Italy
536873,22197,SMALL POPCORN HOLDER,8,01/01/2011 15:04,0.85,12608.0,United Kingdom
537060,84406B,CREAM CUPID HEARTS COAT HANGER,10,01/01/2011 15:45,3.0,12693.0,France
536680,22197,SMALL POPCORN HOLDER,10,01/01/2011 16:21,0.94,12802.0,United Kingdom
536938,85014,BLUE POLKADOT WRAP,10,01/01/2011 16:28,0.42,,United Kingdom
C536646,23084,RABBIT NIGHT LIGHT,-3,01/01/2011 17:09,1.7,12911.0,United Kingdom
536856,22960,JAM MAKING SET WITH JARS,6,01/01/2011 17:12,4.07,13709.0,United Kingdom
536664,23355,HOT WATER BOTTLE KEEP CALM,2,01/01/2011 17:21,4.26,13675.0,United Kingdom
C536403,23355,HOT WATER BOTTLE KEEP CALM,-5,01/01/2011 18:30,4.56,13519.0,United Kingdom
537094,22375,AIRLINE BAG VINTAGE WORLD CHAMPION,56,01/01/2011 18:39,4.54,12551.0,Portugal
536491,21730,GLASS STAR FROSTED T-LIGHT HOLDER,5,01/01/2011 18:52,3.73,13634.0,Belgium
537000,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,01/02/2011 08:05,2.26,12856.0,United Kingdom
536980,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,01/02/2011 08:20,2.6,12656.0,United Kingdom
536883,22469,HEART OF WICKER SMALL,2,01/02/2011 08:37,1.71,12609.0,United Kingdom
536758,71053,WHITE METAL LANTERN,5,01/02/2011 08:46,4.0,13835.0,United Kingdom
536787,23355,HOT WATER BOTTLE KEEP CALM,9,01/02/2011 09:14,4.33,,United Kingdom
536589,22197,SMALL POPCORN HOLDER,9,01/02/2011 09:42,0.81,,Germany
537075,DOT,DOTCOM POSTAGE,8,01/02/2011 09:45,17.4,,United Kingdom
536539,22375,AIRLINE BAG VINTAGE WORLD CHAMPION,10,01/02/2011 09:45,4.71,13555.0,United Kingdom
536381,84029E,RED WOOLLY HOTTIE WHITE HEART,3,01/02/2011 10:27,3.08,12959.0,United Kingdom
537015,DOT,DOTCOM POSTAGE,100,01/02/2011 10:35,15.02,13319.0,France
536706,22469,HEART OF WICKER SMALL,5,01/02/2011 10:43,1.5,13727.0,Italy
536494,22632,HAND WARMER RED POLKA DOT,117,01/02/2011 10:46,1.9,13506.0,United Kingdom
536961,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,01/02/2011 11:17,4.87,,United Kingdom
536878,23084,RABBIT NIGHT LIGHT,3,01/02/2011 11:39,1.86,13015.0,United Kingdom
536850,84879,ASSORTED COLOUR BIRD ORNAMENT,5,01/02/2011 12:15,1.88,12954.0,United Kingdom
536659,22145,CHRISTMAS CRAFT PAPER TAPE,4,01/02/2011 12:23,0.28,13073.0,United Kingdom
537020,22632,HAND WARMER RED POLKA DOT,3,01/02/2011 12:32,2.08,,United Kingdom
536819,21730,GLASS STAR FROSTED T-LIGHT HOLDER,7,01/02/2011 12:44,4.71,12966.0,United Kingdom
536824,22386,JUMBO BAG APPLE DESIGN,10,01/02/2011 12:53,1.8,13390.0,Belgium
536654,22720,SET OF 3 CAKE TINS PANTRY DESIGN,10,01/02/2011 13:06,7.47,12498.0,Spain
536902,20725,LUNCH BAG RED RETROSPOT,9,01/02/2011 13:21,4.18,13177.0,United Kingdom
536964,84029E,RED WOOLLY HOTTIE WHITE HEART,6,01/02/2011 13:28,3.85,12397.0,United Kingdom
536576,22960,JAM MAKING SET WITH JARS,137,01/02/2011 14:19,4.37,13715.0,United Kingdom
536953,23084,RABBIT NIGHT LIGHT,9,01/02/2011 14:33,1.61,13168.0,United Kingdom
536420,22632,HAND WARMER RED POLKA DOT,134,01/02/2011 14:38,1.63,13422.0,United Kingdom
536942,22423,REGENCY CAKESTAND 3 TIER,6,01/02/2011 15:45,14.25,12560.0,United Kingdom
536484,22752,SET 7 BABUSHKA NESTING BOXES,24,01/02/2011 16:24,6.82,13123.0,United Kingdom
536383,23355,HOT WATER BOTTLE KEEP CALM,6,01/02/2011 16:25,5.88,13225.0,Netherlands
536974,22145,CHRISTMAS CRAFT PAPER TAPE,191,01/02/2011 16:28,0.34,13448.0,Netherlands
536674,22197,SMALL POPCORN HOLDER,9,01/02/2011 16:49,0.76,12879.0,United Kingdom
536876,22457,NATURAL SLATE HEART CHALKBOARD,4,01/02/2011 17:01,5.39,13281.0,United Kingdom
536757,DOT,DOTCOM POSTAGE,4,01/02/2011 17:31,18.57,13532.0,United Kingdom
536652,22457,NATURAL SLATE HEART CHALKBOARD,7,01/02/2011 17:53,4.55,12540.0,Germany
536661,23084,RABBIT NIGHT LIGHT,69,01/02/2011 18:06,1.65,13394.0,Italy
537006,22197,SMALL POPCORN HOLDER,8,01/02/2011 18:16,0.85,13377.0,United Kingdom
536452,22457,NATURAL SLATE HEART CHALKBOARD,3,01/02/2011 18:22,4.07,13818.0,Portugal
536486,22960,JAM MAKING SET WITH JARS,1,01/02/2011 18:25,3.4,13788.0,United Kingdom
536945,23084,RABBIT NIGHT LIGHT,3,01/02/2011 18:48,1.47,12797.0,Belgium
536732,23084,RABBIT NIGHT LIGHT,1,01/02/2011 18:55,2.04,13392.0,United Kingdom
537071,22423,REGENCY CAKESTAND 3 TIER,8,01/02/2011 18:57,13.19,12349.0,United Kingdom
536487,84879,ASSORTED COLOUR BIRD ORNAMENT,190,01/03/2011 08:00,1.79,,United Kingdom
536665,POST,POSTAGE,5,01/03/2011 08:13,17.02,12974.0,United Kingdom
536586,22423,REGENCY CAKESTAND 3 TIER,10,01/03/2011 08:40,14.17,13174.0,Germany
536739,22811,SET 6 RED SPOTTY PAPER PLATES,3,01/03/2011 09:04,3.09,13602.0,United Kingdom
536737,85123A,WHITE HANGING HEART T-LIGHT HOLDER,162,01/03/2011 09:08,2.45,12465.0,United Kingdom
536452,22375,AIRLINE BAG VINTAGE WORLD CHAMPION,7,01/03/2011 10:01,5.19,13490.0,United Kingdom
536372,84406B,CREAM CUPID HEARTS COAT HANGER,3,01/03/2011 10:17,3.19,13544.0,United Kingdom
536952,POST,POSTAGE,4,01/03/2011 10:19,18.42,13838.0,United Kingdom
537012,22145,CHRISTMAS CRAFT PAPER TAPE,6,01/03/2011 10:47,0.34,13428.0,United Kingdom
536624,84879,ASSORTED COLOUR BIRD ORNAMENT,120,01/03/2011 11:16,1.37,13623.0,United Kingdom
536983,22632,HAND WARMER RED POLKA DOT,9,01/03/2011 12:35,1.87,13421.0,United Kingdom
536953,84029E,RED WOOLLY HOTTIE WHITE HEART,6,01/03/2011 12:46,3.35,12540.0,Australia
536411,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,9,01/03/2011 13:26,3.83,13467.0,France
536479,84879,ASSORTED COLOUR BIRD ORNAMENT,10,01/03/2011 13:28,1.64,13058.0,United Kingdom
536455,21730,GLASS STAR FROSTED T-LIGHT HOLDER,98,01/03/2011 13:39,4.66,,United Kingdom
536677,22632,HAND WARMER RED POLKA DOT,10,01/03/2011 13:43,1.62,13188.0,United Kingdom
536645,22423,REGENCY CAKESTAND 3 TIER,1,01/03/2011 13:52,12.95,13243.0,United Kingdom
536683,84029E,RED WOOLLY HOTTIE WHITE HEART,2,01/03/2011 13:56,4.06,12726.0,United Kingdom
536651,22811,SET 6 RED SPOTTY PAPER PLATES,4,01/03/2011 14:40,2.96,12594.0,Netherlands
536459,22469,HEART OF WICKER SMALL,4,01/03/2011 14:43,1.36,12422.0,Germany
536595,84879,ASSORTED COLOUR BIRD ORNAMENT,5,01/03/2011 14:47,1.54,13435.0,EIRE
537092,22457,NATURAL SLATE HEART CHALKBOARD,3,01/03/2011 14:53,4.59,13626.0,United Kingdom
536605,22386,JUMBO BAG APPLE DESIGN,7,01/03/2011 15:08,1.84,13320.0,United Kingdom
