Title,Price,Price_Text,Rating,Availability,URL,Image_URL,Scraped_Date,Source
A Light in the Attic,51.77,£51.77,3,In stock,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,https://books.toscrape.com/media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
Tipping the Velvet,53.74,£53.74,1,In stock,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,https://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
Soumission,50.1,£50.10,1,In stock,https://books.toscrape.com/catalogue/soumission_998/index.html,https://books.toscrape.com/media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
Sharp Objects,47.82,£47.82,4,In stock,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,https://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
Sapiens: A Brief History of Humankind,54.23,£54.23,5,In stock,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,https://books.toscrape.com/media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
The Requiem Red,22.65,£22.65,1,In stock,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,https://books.toscrape.com/media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
The Dirty Little Secrets of Getting Your Dream Job,33.34,£33.34,4,In stock,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,https://books.toscrape.com/media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,£17.93,3,In stock,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,https://books.toscrape.com/media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,£22.60,4,In stock,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,https://books.toscrape.com/media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
The Black Maria,52.15,£52.15,1,In stock,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,https://books.toscrape.com/media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,£13.99,2,In stock,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,https://books.toscrape.com/media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
Shakespeare's Sonnets,20.66,£20.66,4,In stock,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,https://books.toscrape.com/media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
Set Me Free,17.46,£17.46,5,In stock,https://books.toscrape.com/catalogue/set-me-free_988/index.html,https://books.toscrape.com/media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,£52.29,5,In stock,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,https://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
Rip it Up and Start Again,35.02,£35.02,5,In stock,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,https://books.toscrape.com/media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,£57.25,3,In stock,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,https://books.toscrape.com/media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
Olio,23.88,£23.88,1,In stock,https://books.toscrape.com/catalogue/olio_984/index.html,https://books.toscrape.com/media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,£37.59,1,In stock,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,https://books.toscrape.com/media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
Libertarianism for Beginners,51.33,£51.33,2,In stock,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,https://books.toscrape.com/media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
It's Only the Himalayas,45.17,£45.17,2,In stock,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,https://books.toscrape.com/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
In Her Wake,12.84,£12.84,1,In stock,https://books.toscrape.com/in-her-wake_980/index.html,https://books.toscrape.com/media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
How Music Works,37.32,£37.32,2,In stock,https://books.toscrape.com/how-music-works_979/index.html,https://books.toscrape.com/media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,£30.52,3,In stock,https://books.toscrape.com/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,https://books.toscrape.com/media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
Chase Me (Paris Nights #2),25.27,£25.27,5,In stock,https://books.toscrape.com/chase-me-paris-nights-2_977/index.html,https://books.toscrape.com/media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
Black Dust,34.53,£34.53,5,In stock,https://books.toscrape.com/black-dust_976/index.html,https://books.toscrape.com/media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
Birdsong: A Story in Pictures,54.64,£54.64,3,In stock,https://books.toscrape.com/birdsong-a-story-in-pictures_975/index.html,https://books.toscrape.com/media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,£22.50,3,In stock,https://books.toscrape.com/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,https://books.toscrape.com/media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
Aladdin and His Wonderful Lamp,53.13,£53.13,3,In stock,https://books.toscrape.com/aladdin-and-his-wonderful-lamp_973/index.html,https://books.toscrape.com/media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,£40.30,5,In stock,https://books.toscrape.com/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,https://books.toscrape.com/media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
Wall and Piece,44.18,£44.18,4,In stock,https://books.toscrape.com/wall-and-piece_971/index.html,https://books.toscrape.com/media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
The Four Agreements: A Practical Guide to Personal Freedom,17.66,£17.66,5,In stock,https://books.toscrape.com/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,https://books.toscrape.com/media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,£31.05,3,In stock,https://books.toscrape.com/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,https://books.toscrape.com/media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
The Elephant Tree,23.82,£23.82,5,In stock,https://books.toscrape.com/the-elephant-tree_968/index.html,https://books.toscrape.com/media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
The Bear and the Piano,36.89,£36.89,1,In stock,https://books.toscrape.com/the-bear-and-the-piano_967/index.html,https://books.toscrape.com/media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg,2026-09-11 16:06:30.624968,books.toscrape.com
